Date,Store_ID,Sales,Cost_of_Goods_Sold,Inventory_Available,Items_Sold,Customer_Visits,Transactions,Employee_Count,Customer_Feedback_Score,Gross_Margin,Average_Transaction_Value,Sell_Through_Rate,Conversion_Rate
2023-01-01,Store_3,278.84,57.46,1310.0,12.0,973.0,161.0,10,5,79.39320040166403,1.73,0.01,16.55
2023-01-02,Store_1,104.97,280.44,1367.0,18.0,139.0,91.0,20,1,-167.16204629894256,1.15,0.01,65.47
2023-01-03,Store_3,833.92,151.92,1413.0,71.0,902.0,132.0,20,4,81.78242517267844,6.32,0.05,14.63
2023-01-04,Store_3,736.17,340.33,1011.0,16.0,575.0,175.0,30,3,53.77018895092166,4.21,0.02,30.43
2023-01-05,Store_1,756.11,128.46,1002.0,39.0,994.0,191.0,25,4,83.01040853844017,3.96,0.04,19.22
2023-01-06,Store_1,794.14,360.92,1298.0,86.0,166.0,46.0,15,5,54.55209408920341,17.26,0.07,27.71
2023-01-07,Store_3,166.64,224.03,1150.0,12.0,598.0,187.0,25,1,-34.439510321651476,0.89,0.01,31.27
2023-01-08,Store_2,422.62,471.53,1202.0,83.0,972.0,109.0,25,1,-11.573044342435276,3.88,0.07,11.21
2023-01-09,Store_3,204.28,111.88,1296.0,35.0,571.0,66.0,20,5,45.232034462502455,3.1,0.03,11.56
2023-01-10,Store_3,876.79,203.48,1390.0,21.0,666.0,103.0,25,5,76.79261852895219,8.51,0.02,15.47
2023-01-11,Store_3,660.97,101.06,838.0,73.0,726.0,196.0,10,3,84.71034994023935,3.37,0.09,27.0
2023-01-12,Store_3,397.81,466.11,876.0,67.0,509.0,109.0,20,1,-17.169000276513916,3.65,0.08,21.41
2023-01-13,Store_1,157.2,444.8,594.0,89.0,665.0,79.0,10,4,-182.95165394402036,1.99,0.15,11.88
2023-01-14,Store_3,379.88,166.07,1078.0,76.0,626.0,134.0,15,2,56.28356323049384,2.83,0.07,21.41
2023-01-15,Store_2,392.66,346.99,536.0,82.0,911.0,63.0,20,2,11.630927519991854,6.23,0.15,6.92
2023-01-16,Store_1,756.65,417.75,966.0,35.0,141.0,34.0,15,5,44.789532809092705,22.25,0.04,24.11
2023-01-17,Store_2,673.8,299.84,1043.0,26.0,353.0,43.0,20,3,55.50014841199169,15.67,0.02,12.18
2023-01-18,Store_2,898.49,288.34,787.0,78.0,955.0,43.0,30,2,67.90837961468688,20.9,0.1,4.5
2023-01-19,Store_2,524.99,158.83,1091.0,83.0,901.0,47.0,25,1,69.74609040172193,11.17,0.08,5.22
2023-01-20,Store_2,207.63,91.9,531.0,99.0,510.0,45.0,30,5,55.73857342387901,4.61,0.19,8.82
2023-01-21,Store_1,741.92,453.75,537.0,47.0,658.0,135.0,15,4,38.84111494500754,5.5,0.09,20.52
2023-01-22,Store_1,784.71,455.19,1323.0,43.0,350.0,53.0,25,5,41.9925832473143,14.81,0.03,15.14
2023-01-23,Store_2,605.15,334.9,860.0,80.0,269.0,82.0,20,4,44.658349169627364,7.38,0.09,30.48
2023-01-24,Store_2,793.87,202.56,627.0,41.0,517.0,181.0,25,5,74.48448738458437,4.39,0.07,35.01
2023-01-25,Store_1,544.42,207.14,1022.0,94.0,418.0,105.0,10,5,61.95216928106976,5.18,0.09,25.12
2023-01-26,Store_1,570.46,376.68,1270.0,87.0,625.0,140.0,25,5,33.96907758650913,4.07,0.07,22.4
2023-01-27,Store_1,484.79,453.7,716.0,49.0,170.0,51.0,10,4,6.413086078508226,9.51,0.07,30.0
2023-01-28,Store_3,122.88,449.19,1123.0,78.0,977.0,55.0,25,4,-265.5517578125,2.23,0.07,5.63
2023-01-29,Store_3,197.1,400.94,585.0,78.0,988.0,27.0,10,5,-103.41958396752918,7.3,0.13,2.73
2023-01-30,Store_3,128.29,338.91,552.0,19.0,728.0,50.0,15,2,-164.17491620547202,2.57,0.03,6.87
2023-01-31,Store_2,672.77,87.86,1031.0,91.0,582.0,70.0,30,3,86.94055918070069,9.61,0.09,12.03
2023-02-01,Store_3,382.92,122.73,1041.0,55.0,379.0,52.0,20,3,67.94891883422125,7.36,0.05,13.72
2023-02-02,Store_2,557.71,454.35,1137.0,84.0,832.0,36.0,25,3,18.532929300173926,15.49,0.07,4.33
2023-02-03,Store_2,916.81,322.89,1226.0,39.0,716.0,42.0,30,4,64.78114331213665,21.83,0.03,5.87
2023-02-04,Store_3,324.36,54.14,1476.0,91.0,246.0,103.0,20,4,83.30866937970157,3.15,0.06,41.87
2023-02-05,Store_2,469.34,95.66,1016.0,45.0,920.0,57.0,20,2,79.61818724165849,8.23,0.04,6.2
2023-02-06,Store_3,780.0,348.58,823.0,11.0,840.0,86.0,10,3,55.31025641025641,9.07,0.01,10.24
2023-02-07,Store_3,305.92,52.28,1295.0,91.0,955.0,111.0,15,3,82.9105648535565,2.76,0.07,11.62
2023-02-08,Store_1,169.28,122.36,771.0,18.0,753.0,144.0,15,5,27.717391304347828,1.18,0.02,19.12
2023-02-09,Store_3,360.78,296.93,939.0,39.0,652.0,27.0,30,4,17.697765951549414,13.36,0.04,4.14
2023-02-10,Store_1,245.1,361.35,578.0,96.0,476.0,164.0,15,3,-47.429620563035506,1.49,0.17,34.45
2023-02-11,Store_3,936.73,343.38,525.0,96.0,939.0,133.0,25,2,63.34269213113705,7.04,0.18,14.16
2023-02-12,Store_3,827.31,150.92,1463.0,62.0,879.0,35.0,15,2,81.75774498072064,23.64,0.04,3.98
2023-02-13,Store_1,670.06,370.48,1336.0,67.0,141.0,177.0,30,3,44.70942900635763,3.79,0.05,125.53
2023-02-14,Store_1,884.31,156.76,1196.0,50.0,124.0,186.0,15,4,82.2731847429069,4.75,0.04,150.0
2023-02-15,Store_3,823.3,196.43,909.0,36.0,439.0,31.0,25,2,76.14113931738126,26.56,0.04,7.06
2023-02-16,Store_2,267.91,385.92,673.0,40.0,829.0,70.0,10,5,-44.048374454107716,3.83,0.06,8.44
2023-02-17,Store_1,903.3,342.33,656.0,71.0,989.0,165.0,30,2,62.102291597475926,5.47,0.11,16.68
2023-02-18,Store_2,585.41,432.15,750.0,78.0,235.0,155.0,10,1,26.17994226268769,3.78,0.1,65.96
2023-02-19,Store_2,826.7,345.93,1049.0,81.0,635.0,53.0,10,1,58.1553163178904,15.6,0.08,8.35
2023-02-20,Store_2,906.48,305.74,1215.0,81.0,443.0,58.0,10,4,66.27173241549731,15.63,0.07,13.09
2023-02-21,Store_1,386.2,92.15,1160.0,18.0,973.0,87.0,20,3,76.13930605903676,4.44,0.02,8.94
2023-02-22,Store_2,199.05,215.47,780.0,54.0,858.0,107.0,20,4,-8.24918362220547,1.86,0.07,12.47
2023-02-23,Store_1,305.14,169.34,1455.0,15.0,854.0,131.0,10,4,44.50416202398898,2.33,0.01,15.34
2023-02-24,Store_2,484.4,159.8,1238.0,59.0,522.0,86.0,30,4,67.01073492981007,5.63,0.05,16.48
2023-02-25,Store_3,836.21,487.85,1054.0,50.0,473.0,103.0,25,4,41.6593917795769,8.12,0.05,21.78
2023-02-26,Store_3,874.66,226.89,1112.0,90.0,346.0,155.0,25,5,74.05963460087348,5.64,0.08,44.8
2023-02-27,Store_1,106.26,451.42,920.0,42.0,151.0,27.0,15,5,-324.8258987389422,3.94,0.05,17.88
2023-02-28,Store_3,559.67,334.01,748.0,21.0,878.0,65.0,30,2,40.32018868261654,8.61,0.03,7.4
2023-03-01,Store_3,475.67,407.67,856.0,23.0,832.0,148.0,20,1,14.295625118254252,3.21,0.03,17.79
2023-03-02,Store_2,299.9,276.19,1258.0,79.0,1000.0,181.0,10,4,7.905968656218733,1.66,0.06,18.1
2023-03-03,Store_1,207.88,309.61,514.0,66.0,997.0,112.0,15,2,-48.93688666538388,1.86,0.13,11.23
2023-03-04,Store_2,403.85,271.63,616.0,19.0,600.0,116.0,25,1,32.73987866782221,3.48,0.03,19.33
2023-03-05,Store_2,948.62,137.86,546.0,18.0,792.0,39.0,20,3,85.46731040880437,24.32,0.03,4.92
2023-03-06,Store_2,390.88,375.1,541.0,73.0,950.0,101.0,20,5,4.037044617273837,3.87,0.13,10.63
2023-03-07,Store_2,566.91,176.35,1355.0,17.0,865.0,116.0,10,1,68.89276957541762,4.89,0.01,13.41
2023-03-08,Store_2,732.72,60.94,1204.0,84.0,323.0,64.0,25,3,91.68304400043672,11.45,0.07,19.81
2023-03-09,Store_2,427.27,340.46,974.0,74.0,505.0,68.0,30,1,20.317363727853582,6.28,0.08,13.47
2023-03-10,Store_2,974.6,129.7,598.0,17.0,216.0,88.0,20,5,86.6919761953622,11.08,0.03,40.74
2023-03-11,Store_1,966.2,473.21,992.0,18.0,959.0,24.0,10,5,51.02359759884082,40.26,0.02,2.5
2023-03-12,Store_3,326.6,479.27,973.0,99.0,646.0,78.0,30,2,-46.745254133496616,4.19,0.1,12.07
2023-03-13,Store_2,547.52,461.69,673.0,44.0,306.0,58.0,25,4,15.676139684395087,9.44,0.07,18.95
2023-03-14,Store_2,370.79,216.57,934.0,43.0,705.0,79.0,20,1,41.592275951347126,4.69,0.05,11.21
2023-03-15,Store_2,356.36,56.96,899.0,83.0,656.0,42.0,30,1,84.01616343023909,8.48,0.09,6.4
2023-03-16,Store_2,133.2,467.74,1116.0,95.0,422.0,180.0,30,3,-251.15615615615621,0.74,0.09,42.65
2023-03-17,Store_2,648.61,242.68,1135.0,99.0,202.0,127.0,30,5,62.58460399932163,5.11,0.09,62.87
2023-03-18,Store_2,552.41,484.99,545.0,78.0,704.0,142.0,20,1,12.20470302854763,3.89,0.14,20.17
2023-03-19,Store_3,146.33,483.63,875.0,44.0,568.0,162.0,20,5,-230.50638966719052,0.9,0.05,28.52
2023-03-20,Store_3,350.78,433.85,1126.0,18.0,795.0,110.0,15,1,-23.68150977820858,3.19,0.02,13.84
2023-03-21,Store_2,917.44,182.5,1003.0,80.0,568.0,36.0,25,2,80.10769096616673,25.48,0.08,6.34
2023-03-22,Store_3,315.61,223.29,1356.0,60.0,867.0,117.0,10,4,29.25129115047052,2.7,0.04,13.49
2023-03-23,Store_1,230.41,433.01,1159.0,48.0,597.0,126.0,30,1,-87.93021136235406,1.83,0.04,21.11
2023-03-24,Store_2,540.51,192.61,663.0,92.0,605.0,154.0,15,5,64.3651366302196,3.51,0.14,25.45
2023-03-25,Store_1,987.09,126.27,571.0,20.0,889.0,98.0,10,2,87.20785338722912,10.07,0.04,11.02
2023-03-26,Store_1,317.85,300.56,1142.0,54.0,463.0,43.0,15,1,5.439672801635998,7.39,0.05,9.29
2023-03-27,Store_2,704.92,471.27,527.0,11.0,221.0,71.0,20,3,33.14560517505532,9.93,0.02,32.13
2023-03-28,Store_3,785.46,363.21,1086.0,52.0,126.0,85.0,30,4,53.75830723397754,9.24,0.05,67.46
2023-03-29,Store_1,313.87,306.53,1440.0,15.0,780.0,136.0,10,1,2.3385478064166794,2.31,0.01,17.44
2023-03-30,Store_2,755.39,93.73,1075.0,21.0,658.0,123.0,10,2,87.59183997670077,6.14,0.02,18.69
2023-03-31,Store_1,431.0,326.75,888.0,21.0,734.0,84.0,10,3,24.187935034802784,5.13,0.02,11.44
2023-04-01,Store_1,669.08,495.52,1143.0,68.0,292.0,198.0,10,2,25.94009684940516,3.38,0.06,67.81
2023-04-02,Store_1,670.18,113.04,958.0,77.0,223.0,129.0,10,2,83.13288967143157,5.2,0.08,57.85
2023-04-03,Store_1,582.2,283.25,1046.0,63.0,113.0,63.0,15,3,51.34833390587428,9.24,0.06,55.75
2023-04-04,Store_3,181.26,444.82,1441.0,97.0,416.0,38.0,30,2,-145.4043914818493,4.77,0.07,9.13
2023-04-05,Store_1,851.77,383.35,886.0,44.0,631.0,48.0,20,3,54.99371896169153,17.75,0.05,7.61
2023-04-06,Store_1,388.7,363.66,1461.0,36.0,453.0,64.0,20,1,6.441986107537938,6.07,0.02,14.13
2023-04-07,Store_1,267.87,366.12,1405.0,88.0,494.0,49.0,20,3,-36.67823944450666,5.47,0.06,9.92
2023-04-08,Store_3,136.7,211.77,696.0,30.0,914.0,54.0,20,3,-54.91587417703001,2.53,0.04,5.91
2023-04-09,Store_1,631.8,182.12,569.0,97.0,413.0,71.0,15,4,71.1744222855334,8.9,0.17,17.19
2023-04-10,Store_1,709.81,414.21,601.0,11.0,563.0,51.0,25,3,41.64494723940209,13.92,0.02,9.06
